2026-04-26 00:40:29 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:41:04 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:41:53 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:41:53 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:41:53 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:41:53 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:42:28 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:42:28 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:42:28 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:42:28 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:43:20 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:43:20 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:43:20 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:43:20 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:49:03 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:49:03 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:49:03 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:49:03 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:51:18 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:51:18 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:51:18 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:51:18 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:54:17 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=1 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:54:17 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=2 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:54:17 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=3 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
2026-04-26 00:54:17 | [OK] HOLD | Qraw:57 Qadj:60 | effective_qmin:40 | Scale:UNKNOWN | PnL: +0.0% | Exp: 0% | Lim: 0/2 | Liq:— | Status: Active | tick=4 BTC/USDT | ml=no_external_ml | ext=[EXTERNAL-AI] disabled_or_no_url | [OMEGA-AI] TRENDING | mult=1.05 adjQ=60 sizeF=1.00 baseQ=57
